行业名称,entry_rate,exit_rate,net_rate,firm_total
屠宰及肉类加工,.77292341,.22707659,.54584682,14782
涂料、油墨、颜料及类似产品制造,.74611998,.25388005,.49223992,14687
陶瓷制品制造,.73318261,.26681739,.46636525,14596
城市公共交通运输,.77223378,.2277662,.54446763,13823
游览景区管理,.7458961,.25410387,.49179226,13817
电机制造,.7402218,.2597782,.4804436,13305
体育用品制造,.73095632,.26904368,.46191263,13000
坚果、含油果、香料和饮料作物种植,.78521401,.21478598,.57042807,12904
群众文体活动,.67142177,.32857823,.34284356,12262
互联网平台,.60869706,.39130294,.21739413,11856
非货币银行服务,.65939367,.34060636,.31878728,11528
快递服务,.69576263,.30423737,.3915253,11294
农、林、牧、渔专用机械制造,.74239975,.25760028,.48479947,10885
多式联运,.71126449,.28873551,.42252901,10646
船舶及相关装置制造,.65142089,.34857908,.30284181,10135
其他保险活动,.68394041,.31605959,.36788079,9831
谷物磨制,.75164086,.24835917,.50328165,9507
测绘地理信息服务,.71278012,.28721988,.42556027,9496
竹、藤、棕、草等制品制造,.73375505,.26624495,.4675101,9428
学前教育,.68439728,.31560275,.36879453,9389
电力供应,.55787742,.44212261,.11575479,9361
饮料及冷饮服务,.47450656,.52549344,-.050986871,9281
热力生产和供应,.73355931,.26644072,.46711856,9176
环境卫生管理,.73153579,.26846421,.46307161,9137
饲料加工,.70364761,.29635242,.4072952,9027
方便食品制造,.7555064,.24449359,.51101285,9005
其他畜牧业,.78124738,.21875264,.56249475,8954
人造板制造,.70983177,.29016823,.41966358,8878
金融信息服务,.48807454,.51192546,-.023850925,8871
毛皮鞣制及制品加工,.58268511,.41731492,.16537018,8865
科技中介服务,.66679412,.33320591,.33358821,8850
精制茶加工,.82351387,.17648616,.64702767,8711
耐火材料制品制造,.74651247,.2534875,.493025,8651
通信设备制造,.64419675,.35580325,.2883935,8461
初等教育,.31008673,.68991327,-.37982658,8311
通用仓储,.6261667,.3738333,.25233343,8199
蔬菜、菌类、水果和坚果加工,.76155806,.23844193,.52311617,8104
信息处理和存储支持服务,.64513487,.35486513,.29026976,8065
合成材料制造,.80218905,.19781095,.6043781,8009
水泥、石灰和石膏制造,.80658948,.19341052,.61317897,7779
卫生材料及医药用品制造,.68231356,.31768647,.36462706,7651
金属表面处理及热处理加工,.76791632,.23208368,.53583264,7637
摄影扩印服务,.53469598,.46530405,.069391921,7611
汽车车身、挂车制造,.78150696,.21849307,.56301385,7384
玩具制造,.64834148,.35165852,.29668298,7364
运行维护服务,.66777176,.33222824,.33554354,7344
婚姻服务,.51273942,.48726058,.025478845,7228
录音制作,.69387901,.30612099,.38775802,7191
化纤织造及印染精加工,.72906893,.27093109,.45813781,7166
金属家具制造,.74543095,.25456905,.49086189,7007
毛纺织及染整精加工,.63326561,.36673439,.26653126,6980
水产品加工,.73796296,.26203707,.47592586,6770
物料搬运设备制造,.77324957,.22675042,.54649913,6699
纺织、服装和皮革加工专用设备制造,.73700845,.26299158,.47401685,6421
社会人文科学研究,.75690168,.24309835,.5138033,6310
调味品、发酵制品制造,.78508925,.21491075,.57017851,6284
水上运输辅助活动,.7208603,.2791397,.4417206,6217
铁路旅客运输,.64708298,.35291705,.29416591,6207
安全保护服务,.87518066,.12481937,.75036126,5724
针织或钩针编织服装制造,.73642349,.26357654,.47284693,5652
造林和更新,.7001977,.29980233,.40039536,5647
节能环保工程施工,.81551683,.18448316,.63103372,5614
智能消费设备制造,.74826062,.25173941,.49652117,5467
锅炉及原动设备制造,.80239391,.1976061,.60478783,5448
印刷、制药、日化及日用品生产专用设备制造,.80936325,.19063678,.61872643,5331
造纸,.76495653,.23504348,.52991307,5112
烟煤和无烟煤开采洗选,.78284049,.21715949,.56568104,5103
电影放映,.76371247,.23628753,.52742493,5065
环境与生态监测检测服务,.76403356,.23596644,.52806711,5019
电力工程施工,.79866266,.20133735,.59732533,4928
家用电器修理,.67560863,.32439139,.35121724,4841
地质勘查,.76480609,.23519389,.52961224,4712
互联网数据服务,.65874994,.34125006,.31749991,4380
林业专业及辅助性活动,.71557808,.28442192,.43115619,4326
计算机制造,.63016623,.3698338,.26033241,4226
中等教育,.33068556,.66931444,-.33862892,4217
餐饮配送及外卖送餐服务,.60713971,.39286029,.21427946,4215
殡葬服务,.72029495,.27970505,.44058993,4141
豆类、油料和薯类种植,.72226632,.27773371,.4445326,4104
石油开采,.81116492,.1888351,.62232983,4061
房地产租赁经营,.56790847,.43209156,.1358169,4048
自行车和残疾人座车制造,.62760711,.37239289,.25521424,3798
铁路、船舶、航空航天等运输设备修理,.59554464,.40445539,.19108921,3709
电视,.60346615,.39653385,.20693234,3596
其他仪器仪表制造业,.89688575,.10311427,.79377145,3514
计算机和办公设备维修,.75108677,.24891326,.50217348,3404
洗染服务,.64128578,.35871425,.28257152,3404
专用仪器仪表制造,.7916832,.2083168,.58336639,3358
玻璃纤维和玻璃纤维增强塑料制品制造,.75464618,.2453538,.50929242,3256
集装箱及金属包装容器制造,.83495551,.16504446,.66991109,3251
电气设备修理,.77753729,.22246274,.55507451,3228
工矿工程建筑,.80471724,.19528276,.60943449,3197
摩托车制造,.67308617,.3269138,.34617236,3163
植物油加工,.69485939,.30514064,.38971871,3138
谷物、棉花等农产品仓储,.70393574,.29606426,.40787148,3137
非专业视听设备制造,.56146276,.43853727,.12292549,3108
助动车制造,.61487472,.38512528,.22974946,3101
污水处理及其再生利用,.77964461,.22035541,.55928922,3076
宠物服务,.66431612,.33568391,.32863218,3014
体育场馆建筑,.76327395,.23672608,.52654785,2974
保险中介服务,.52681392,.47318611,.053627785,2950
海洋工程建筑,.83129537,.16870466,.66259068,2823
精炼石油产品制造,.83487666,.16512334,.66975331,2805
铁矿采选,.89623451,.1037655,.79246902,2772
钟表与计时仪器制造,.63912362,.36087638,.27824724,2725
文体设备和用品出租,.70107669,.29892334,.40215331,2701
游乐园,.60495329,.39504674,.20990655,2696
非电力家用器具制造,.72973341,.27026662,.45946679,2668
草种植及割草,.75282127,.24717872,.50564259,2649
有色金属合金制造,.81733304,.18266696,.63466609,2626
羽毛（绒）加工及制品制造,.69827652,.30172351,.39655301,2577
搪瓷制品制造,.69156963,.30843034,.38313928,2573
糖果、巧克力及蜜饯制造,.80386192,.19613807,.60772389,2446
游艺器材及娱乐用品制造,.69388819,.30611184,.38777632,2368
电池制造,.65166074,.34833926,.30332154,2215
电影和广播电视节目发行,.66948158,.33051842,.33896318,2158
常用有色金属冶炼,.80178857,.19821143,.60357714,2101
铁路运输设备制造,.79809654,.20190345,.59619313,2092
新闻业,.67235547,.32764453,.34471095,2087
合成纤维制造,.75526857,.24473143,.51053715,1946
玻璃制造,.80414748,.19585256,.6082949,1934
民宿服务,.74247205,.25752798,.48494408,1919
非公开募集证券投资基金,.71403807,.28596193,.42807615,1798
丝绢纺织及印染精加工,.72055376,.27944621,.44110757,1783
乐器制造,.74842191,.25157812,.49684379,1768
其他卫生活动,.75024301,.24975701,.50048602,1739
法律服务,.68862653,.3113735,.37725303,1733
体育场地设施管理,.62786424,.37213576,.25572848,1701
艺术表演场馆,.65715051,.34284952,.31430098,1675
数字内容服务,.7044155,.2955845,.40883103,1559
水产捕捞,.70185733,.29814267,.40371466,1527
石油和天然气开采专业及辅助性活动,.70824337,.29175663,.41648677,1516
其他烟草制品制造,.66630977,.33369023,.33261958,1495
通用航空服务,.67649657,.32350343,.35299316,1417
畜牧专业及辅助性活动,.77097011,.22902991,.54194021,1392
光学仪器制造,.73739278,.26260725,.47478554,1384
陆地管道运输,.75972253,.24027745,.51944512,1380
中药饮片加工,.80755883,.19244117,.61511767,1341
其他寄递服务,.84315068,.15684932,.68630135,1319
皮革鞣制加工,.70161027,.29838973,.40322056,1315
通用设备修理,.77400416,.22599587,.54800826,1295
休闲观光活动,.74152541,.25847462,.48305076,1246
生态保护,.7833907,.21660931,.5667814,1233
罐头食品制造,.82576078,.17423923,.65152156,1185
航空运输辅助活动,.65240699,.34759304,.30481395,1156
证券市场服务,.69266933,.3073307,.38533863,1126
炸药、火工及焰火产品制造,.53004509,.46995491,.060090158,1084
金融信托与管理服务,.70055991,.29944012,.40111977,968
托儿所服务,.66673183,.33326817,.33346367,964
铁合金冶炼,.76684564,.23315437,.53369129,938
石棉及其他非金属矿采选,.87841964,.12158039,.75683922,910
危险品仓储,.74822778,.2517722,.49645561,827
货币银行服务,.94653648,.053463522,.89307296,826
生物药品制品制造,.78071785,.21928218,.56143564,795
化学药品原料药制造,.82375592,.17624411,.64751178,790
文化、办公用机械制造,.84440869,.15559132,.68881738,784
不提供住宿社会工作,.65989339,.34010664,.31978673,766
控股公司服务,.81668031,.18331967,.63336068,713
食品、饮料、烟草及饲料生产专用设备制造,.8067494,.1932506,.61349881,666
水上旅客运输,.75639856,.24360146,.51279712,617
专用设备修理,.73596829,.26403174,.47193655,538
地震服务,.84527689,.15472309,.69055384,533
中成药生产,.79582292,.20417707,.5916459,532
广播电视传输服务,.7725997,.22740033,.54519933,508
航空、航天器及设备制造,.79514968,.20485033,.59029937,494
木材和竹材采运,.74970788,.25029209,.49941579,471
渔业专业及辅助性活动,.74093312,.25906685,.4818663,470
贵金属矿采选,.9412095,.058790505,.88241899,449
非公路休闲车及零配件制造,.73816532,.26183471,.47633058,427
生物质燃料加工,.65560037,.34439963,.31120074,418
兽用药品制造,.86343515,.13656485,.7268703,399
广播电视集成播控,.68565524,.31434479,.37131044,392
金属制品修理,.8241601,.1758399,.6483202,376
其他水的处理、利用与分配,.82526141,.17473862,.65052277,372
城乡市容管理,.77621728,.22378273,.55243456,352
林产品采集,.71574622,.28425381,.43149239,346
竹、藤家具制造,.82021409,.17978592,.64042819,331
电车制造,.7443698,.25563022,.48873958,329
麻纺织及染整精加工,.58815992,.41184008,.17631984,310
图书馆与档案馆,.69945669,.30054331,.39891341,306
烈士陵园、纪念馆,.82190478,.17809524,.64380956,300
土地整治服务,.62046337,.37953663,.24092677,299
广播电视设备制造,.76568055,.23431943,.53136116,280
潜水救捞及其他未列明运输设备制造,.84283084,.15716915,.68566173,272
低温仓储,.78064352,.21935649,.56128699,260
金融资产管理公司,.59644377,.40355623,.19288753,260
海洋服务,.71436638,.28563362,.42873278,230
棉、麻、糖、烟草种植,.74976707,.25023293,.49953416,227
文物及非物质文化遗产保护,.76652497,.23347506,.53304988,208
记录媒介复制,.85686195,.14313808,.71372384,199
其他开采专业及辅助性活动,.85571581,.14428419,.71143162,198
农药制造,.91703612,.082963876,.83407223,196
乳制品制造,.78632373,.2136763,.57264739,179
土地登记代理服务,.56941414,.43058586,.13882828,179
纸浆制造,.85869616,.14130384,.71739233,177
稀有稀土金属冶炼,.85571134,.14428864,.71142274,177
城市公园管理,.89033002,.10967001,.78065997,176
水资源管理,.76170635,.23829365,.5234127,166
炼铁,.6293155,.37068453,.25863096,159
彩票活动,.79390609,.20609391,.58781219,158
塑料家具制造,.76932997,.23067006,.53865993,157
气象服务,.67496949,.32503054,.34993896,137
博物馆,.66366565,.33633432,.32733136,117
仪器仪表修理,.85656691,.14343309,.71313381,112
专业公共卫生服务,.26222223,.73777777,-.47555557,101
铁路货物运输,.7490775,.2509225,.49815503,96
制糖业,.82312924,.17687075,.64625853,88
衡器制造,.86319143,.13680856,.72638285,82
生物质燃气生产和供应业,.77175325,.22824676,.5435065,74
防洪除涝设施管理,.5977273,.40227273,.19545454,72
卫星传输服务,.85651153,.14348847,.71302307,65
改装汽车制造,.80583334,.19416668,.61166668,56
药用辅料及包装材料制造,.75878686,.24121316,.51757371,54
非金融机构支付服务,.79523808,.20476191,.59047621,53
核辐射加工,.82619047,.17380953,.65238094,50
炼钢,.80181408,.19818595,.60362816,46
贵金属冶炼,.79166669,.20833334,.58333337,45
水文服务,.91428572,.085714288,.82857144,29
期货市场服务,.92857146,.071428575,.85714287,29
铁路运输辅助活动,.69999999,.30000001,.40000001,27
财产保险,.83333331,.16666667,.66666669,24
稀有稀土金属矿采选,.92207795,.077922083,.84415585,24
互联网安全服务,.60000002,.40000001,.2,23
采盐,.95833331,.041666668,.91666669,19
汽车用发动机制造,.88571429,.11428571,.77142859,17
核燃料加工,.71428573,.2857143,.42857143,14
天然水收集与分配,.62222224,.37777779,.24444446,14
特殊教育,.5,.5,0,10
日用品出租,.80000001,.2,.60000002,10
褐煤开采洗选,1,0,1,9
公开募集证券投资基金,.5714286,.42857143,.14285715,7
雷达及配套设备制造,.85714287,.14285715,.71428573,7
锰矿、铬矿采选,.83333331,.16666667,.66666669,6
高等教育,.80000001,.2,.60000002,5
人身保险,1,0,1,5
中央银行服务,1,0,1,5
